xAcc,yAcc
0.000297017939883569,-0.0030295829868124033
0.00011880717595342758,-0.0027325650469288347
5.940358797671379e-05,-0.0026731614589521205
5.940358797671379e-05,-0.002376143519068552
0.00011880717595342758,-0.002257336343115124
0.00017821076393014138,-0.0019603184032315553
0.000297017939883569,-0.002376143519068552
0.0006534394677438517,-0.0024355471070452656
0.0008316502316739931,-0.0020791255791849828
0.000891053819650707,-0.0021385291671616965
0.0007722466436972793,-0.0020791255791849828
0.0007128430557205655,-0.002316739931091838
0.000594035879767138,-0.0020791255791849828
0.00047522870381371034,-0.002019721991208269
0.00017821076393014138,-0.0019009148152548414
0.000594035879767138,-0.001782107639301414
0.0006534394677438517,-0.001782107639301414
0.0007128430557205655,-0.0015444932873945585
0.00041582511583699655,-0.0018415112272781276
0.00035642152786028277,-0.0020791255791849828
0.0006534394677438517,-0.0020791255791849828
0.000594035879767138,-0.0021385291671616965
0.00047522870381371034,-0.0021385291671616965
0.00035642152786028277,-0.002019721991208269
0.00041582511583699655,-0.002019721991208269
0.0005346322917904241,-0.0016633004633479862
0.0007722466436972793,-0.001425686111441131
0.0010692645835808483,-0.0016633004633479862
0.0010692645835808483,-0.0013068789354877034
0.0009504574076274207,-0.0015444932873945585
0.0008316502316739931,-0.0017227040513247
0.0006534394677438517,-0.0019603184032315553
0.000891053819650707,-0.002554354282998693
0.0006534394677438517,-0.0024949506950219793
0.000594035879767138,-0.002376143519068552
0.0008316502316739931,-0.002019721991208269
0.0009504574076274207,-0.0016633004633479862
0.0007722466436972793,-0.0018415112272781276
0.0007128430557205655,-0.001782107639301414
0.0007722466436972793,-0.0020791255791849828
0.000594035879767138,-0.002019721991208269
0.0007128430557205655,-0.0021385291671616965
0.000594035879767138,-0.0018415112272781276
0.0009504574076274207,-0.0013662825234644173
0.001128668171557562,-0.001188071759534276
0.0010098609956041345,-0.0010692645835808483
0.00047522870381371034,-0.001128668171557562
0.00023761435190685517,-0.001782107639301414
0.00023761435190685517,-0.0018415112272781276
0.00023761435190685517,-0.002019721991208269
0.000594035879767138,-0.0013662825234644173
